ï»¿time,generation biomass,generation fossil gas,generation hydro water reservoir,generation nuclear,generation solar,forecast solar day ahead,total load forecast,total load actual,price day ahead,price actual
2018-01-01 00:00:00+01:00,282.0,3471.0,1162.0,7057.0,9.0,6,23324,22779.0,6.74,20.76
2018-01-01 01:00:00+01:00,275.0,3269.0,799.0,7057.0,9.0,0,22688,22009.0,4.74,19.02
2018-01-01 02:00:00+01:00,278.0,3541.0,898.0,7058.0,9.0,1,21521,20589.0,3.66,17.9
2018-01-01 03:00:00+01:00,278.0,3450.0,714.0,7061.0,9.0,4,20294,19547.0,2.3,20.88
2018-01-01 04:00:00+01:00,279.0,3318.0,661.0,7066.0,9.0,6,19489,18871.0,2.3,18.83
2018-01-01 05:00:00+01:00,278.0,3334.0,612.0,7069.0,9.0,4,19179,18688.0,2.06,15.8
2018-01-01 06:00:00+01:00,278.0,3395.0,693.0,7077.0,9.0,2,19034,18869.0,2.06,18.7
2018-01-01 07:00:00+01:00,283.0,3909.0,792.0,7102.0,9.0,22,18806,19263.0,2.06,19.97
2018-01-01 08:00:00+01:00,287.0,3241.0,573.0,7111.0,34.0,107,18105,19046.0,2.3,21.91
2018-01-01 09:00:00+01:00,275.0,3398.0,691.0,7113.0,601.0,584,18168,19563.0,2.3,17.82
2018-01-01 10:00:00+01:00,273.0,2616.0,810.0,7112.0,1635.0,1475,19654,21063.0,2.3,14.63
2018-01-01 11:00:00+01:00,270.0,2555.0,1009.0,7108.0,2479.0,2261,20862,22448.0,2.3,14.69
2018-01-01 12:00:00+01:00,279.0,2564.0,1151.0,7107.0,2942.0,2779,21881,23033.0,2.3,14.0
2018-01-01 13:00:00+01:00,281.0,2535.0,1243.0,7106.0,2898.0,2994,23190,23680.0,2.3,14.14
2018-01-01 14:00:00+01:00,284.0,2452.0,1013.0,7103.0,2778.0,2897,23800,23918.0,5.0,17.69
2018-01-01 15:00:00+01:00,270.0,2558.0,782.0,7095.0,2554.0,2480,22369,22626.0,5.0,17.62
2018-01-01 16:00:00+01:00,265.0,2515.0,785.0,7089.0,1876.0,1725,22027,22130.0,5.0,16.99
2018-01-01 17:00:00+01:00,268.0,2681.0,1141.0,7085.0,781.0,866,22444,22607.0,8.85,20.66
2018-01-01 18:00:00+01:00,268.0,2749.0,2275.0,7084.0,177.0,259,24836,25198.0,15.93,28.2
2018-01-01 19:00:00+01:00,264.0,2836.0,2423.0,7084.0,119.0,91,26340,26477.0,22.02,32.37
2018-01-01 20:00:00+01:00,270.0,2784.0,2007.0,7086.0,115.0,72,27581,27326.0,20.0,30.39
2018-01-01 21:00:00+01:00,277.0,2746.0,2347.0,7088.0,91.0,60,27858,27534.0,21.95,32.2
2018-01-01 22:00:00+01:00,279.0,2894.0,2443.0,7086.0,60.0,49,26964,26946.0,23.52,32.9
2018-01-01 23:00:00+01:00,270.0,3208.0,1659.0,7087.0,50.0,38,24988,24878.0,16.35,26.95
2018-01-02 00:00:00+01:00,374.0,6024.0,2727.0,7112.0,13.0,2,28358,28084.0,60.0,29.42
2018-01-02 01:00:00+01:00,370.0,5371.0,2096.0,7112.0,13.0,7,26284,26180.0,57.79,23.58
2018-01-02 02:00:00+01:00,371.0,4744.0,1323.0,7113.0,17.0,5,25127,25063.0,55.31,20.21
2018-01-02 03:00:00+01:00,372.0,4440.0,905.0,7112.0,20.0,3,24696,24672.0,50.96,18.58
2018-01-02 04:00:00+01:00,370.0,4442.0,965.0,7112.0,19.0,3,24642,24537.0,47.07,17.8
2018-01-02 05:00:00+01:00,369.0,4520.0,976.0,7113.0,13.0,8,25259,25261.0,46.0,22.02
2018-01-02 06:00:00+01:00,371.0,5025.0,1333.0,7110.0,13.0,12,27896,27911.0,54.0,35.01
2018-01-02 07:00:00+01:00,371.0,6116.0,2676.0,7089.0,12.0,7,32389,32762.0,59.37,50.65
2018-01-02 08:00:00+01:00,376.0,6353.0,3507.0,7073.0,47.0,98,35163,35344.0,60.77,58.61
2018-01-02 09:00:00+01:00,377.0,6556.0,4121.0,7073.0,392.0,598,36407,36342.0,60.61,57.43
2018-01-02 10:00:00+01:00,366.0,6641.0,3605.0,7073.0,991.0,1262,36833,36727.0,60.17,60.31
2018-01-02 11:00:00+01:00,361.0,6588.0,2712.0,7077.0,1491.0,1811,36710,36772.0,59.25,58.48
2018-01-02 12:00:00+01:00,364.0,6444.0,1741.0,7102.0,1791.0,2048,36245,36642.0,57.3,57.08
2018-01-02 13:00:00+01:00,371.0,6113.0,1391.0,7110.0,1990.0,2223,36102,36684.0,55.04,56.33
2018-01-02 14:00:00+01:00,372.0,5304.0,804.0,7111.0,1983.0,2122,34915,35554.0,46.88,56.54
2018-01-02 15:00:00+01:00,374.0,5544.0,1200.0,7111.0,1676.0,1806,34333,35155.0,44.99,55.13
2018-01-02 16:00:00+01:00,384.0,5439.0,1268.0,7109.0,1363.0,1415,34106,34958.0,44.68,54.64
2018-01-02 17:00:00+01:00,385.0,5926.0,1351.0,7108.0,882.0,680,34280,35112.0,46.32,57.35
2018-01-02 18:00:00+01:00,384.0,6271.0,1712.0,7108.0,234.0,220,35021,36077.0,53.81,61.67
2018-01-02 19:00:00+01:00,373.0,6690.0,3381.0,7107.0,24.0,104,36888,37957.0,58.19,62.34
2018-01-02 20:00:00+01:00,366.0,6642.0,3888.0,7109.0,10.0,58,37446,38313.0,59.37,64.51
2018-01-02 21:00:00+01:00,372.0,6609.0,3166.0,7111.0,9.0,4,36680,37394.0,58.87,63.33
2018-01-02 22:00:00+01:00,376.0,6406.0,1832.0,7109.0,9.0,0,34103,34645.0,55.1,59.09
2018-01-02 23:00:00+01:00,370.0,5166.0,1477.0,7109.0,9.0,3,30812,31297.0,52.14,48.64
2018-01-03 00:00:00+01:00,344.0,3916.0,2554.0,7106.0,21.0,6,28912,28930.0,50.01,22.7
2018-01-03 01:00:00+01:00,347.0,3856.0,2402.0,7105.0,21.0,5,26846,26848.0,45.02,17.25
2018-01-03 02:00:00+01:00,348.0,3836.0,1998.0,7104.0,18.0,5,25558,25598.0,44.51,15.01
2018-01-03 03:00:00+01:00,348.0,3685.0,1751.0,7105.0,18.0,5,25188,25203.0,44.51,12.6
2018-01-03 04:00:00+01:00,349.0,3590.0,1517.0,7107.0,18.0,10,25049,24987.0,44.27,12.4
2018-01-03 05:00:00+01:00,350.0,3631.0,1796.0,7108.0,20.0,10,25695,25730.0,44.51,14.92
2018-01-03 06:00:00+01:00,349.0,4009.0,1992.0,7107.0,20.0,10,28538,28433.0,45.01,23.01
2018-01-03 07:00:00+01:00,346.0,4965.0,3047.0,7104.0,25.0,27,32614,32647.0,56.01,47.4
2018-01-03 08:00:00+01:00,344.0,5295.0,3163.0,7105.0,163.0,170,35461,35564.0,60.84,60.64
2018-01-03 09:00:00+01:00,340.0,5560.0,4293.0,7105.0,466.0,562,36973,36996.0,63.83,61.65
2018-01-03 10:00:00+01:00,338.0,5770.0,4471.0,7105.0,686.0,975,37248,37853.0,63.53,63.48
2018-01-03 11:00:00+01:00,328.0,5526.0,3852.0,7103.0,892.0,1294,37114,37462.0,61.48,61.69
2018-01-03 12:00:00+01:00,341.0,5651.0,4304.0,7104.0,1059.0,1569,36807,37710.0,59.01,61.06
2018-01-03 13:00:00+01:00,349.0,5503.0,4486.0,7106.0,1140.0,1769,36577,36951.0,56.01,59.23
2018-01-03 14:00:00+01:00,350.0,4842.0,3006.0,7104.0,1217.0,1784,35442,35258.0,53.53,58.87
2018-01-03 15:00:00+01:00,348.0,4778.0,2161.0,7104.0,1078.0,1555,34741,34981.0,49.73,57.6
2018-01-03 16:00:00+01:00,344.0,4700.0,2017.0,7103.0,961.0,1194,34375,34927.0,45.01,56.35
2018-01-03 17:00:00+01:00,348.0,4878.0,2316.0,7104.0,687.0,733,34079,35080.0,44.52,58.57
2018-01-03 18:00:00+01:00,337.0,4800.0,2356.0,7103.0,227.0,255,34065,35274.0,44.62,62.88
2018-01-03 19:00:00+01:00,335.0,5685.0,3577.0,7105.0,36.0,32,36394,37370.0,53.04,62.54
2018-01-03 20:00:00+01:00,339.0,5925.0,4127.0,7107.0,29.0,9,37531,38355.0,56.51,63.04
2018-01-03 21:00:00+01:00,339.0,6051.0,4217.0,7107.0,27.0,9,36785,37128.0,56.01,61.77
2018-01-03 22:00:00+01:00,341.0,5055.0,2888.0,7107.0,27.0,11,34180,34310.0,52.26,59.29
2018-01-03 23:00:00+01:00,341.0,4114.0,2187.0,7109.0,17.0,12,31039,31080.0,44.52,50.74
2018-01-04 00:00:00+01:00,273.0,4174.0,6394.0,6075.0,423.0,121,25173,24890.0,40.43,36.5
2018-01-04 01:00:00+01:00,258.0,3961.0,3779.0,6075.0,313.0,89,23206,22892.0,32.02,17.22
